Substation,Group 1,Group 2,Group 3,Group 4,Group 5,Group 6,Group 7
Patan,Mangal Bazaar,Pharping,Patan,Ring Road,Saibu,"Radio Nepal, Pulchowk","Jawalakhel, Chapagaon"
Bhaktapur,,Byasi,,,"Katunje, Nalinchowk","Nagarkot, Brik",
Teku,"Tripureshwar, Tahachal",Kalimati,Thankot,Pulchowk,,Bhimsensthan,Kirtipur
Baneshwar,"Baneshwar, Koteshwar, Bagmati","Imadol, Gothatar","Godavari 1, Conference Hall","New Aiport, Dhobikhola",Old Airport,Lubhu,Sankhamul
Purano Chabahil,Jorpati,,"Naxal, Airport","Dhobikhola, Dachi","Battisputali, Tangal",,Pashupati
Naya Chabahil,Saakhu,,Om Hospital,,,Sundarijal,Kapan
Lainchaur,Kesar Mahal,,Gairidhara,Lazimpat,Kings Way,Thamel,Samakhusi
Balaju,,Naya Bazar,,"Nagarjun, Swayambhu","Vishnumati, Maharajgunj-1",Dharmasthali,
Syuchatar,Tahachal,Thankot,Kalimati,,Kalanki,Ropeway,"Balambu, Swayambhu"
Banepa,,Dhulikhel,Sanga,,,"Nala, Khawa","Hospital, Khopasi, Panauti"
Thapathali,Thapathali,,,"Sanepa, Teku, Patan",,,
K 2,Kamladi,Asan,Mahaboudha,,,Darwarmarg,Bagbazar
Maharajgunj,Budhanilkantha,Bansbari,"Baluwatar, American Embassy",,"Gangabu, Dhapasi",,Golfutar
Thimi,,,,Balkumari,,Thimi,Sallaghari
Sundhara,Khichapokhari,Tripureshwar,,New Road,,Bhotebahal,
K 3,Bhrikuti Mandap,,Kalikasthan,,Anamnagar,,
Matatirtha,,,Matatirtha,,,,Putalisadak
Paanchkhaal,,,"Pillay, Palanchowk",,Melamchi,Panchkhal,
