समूह सवस्टेसन,समूह १,समूह २,समूह ३,समूह ४,समूह ५,समूह ६,समूह ७
पाटन,मंगल बजार,फर्पिङ,पाटन,रिड़गरोड,सैंबु,"रेडियो नेपाल, पुल्चोक","जाउलाखेल, चापागाउँ"
भक्तपुर,,ब्याँसी,,,"कटुन्जे, नालिनचोक","नगरकोट, ब्रिक",
टेकु,"त्रिपुरेश्वर, ताहाचल",कालीमाती,थानकोट,पुलचोक,,भिमसेनस्थान,किर्तिपुर
बानेश्वर,"बानेश्वर, कोटेश्वर, बागमती","इमाडोल, गोठातार","गोदावरी-१, कन्फ्रेन्सहल","नयाँ एयरपोर्ट, धोबीखोला",पुरानो एयरपोर्ट,लुभु,संखमुल
पुरानो चाबेल,जोरपाटी,,"नक्साल, एयरपोर्ट","धोबीखोला, डाछिं","बतिसपुतली, टंन्गाल",,पशुपती
नयाँ चाबेल,साँखु,,अोम हस्पिटल,,,सुन्दरीजल,कपन
लैनचौर,केशर महल,,गैरीधारा,लाजिम्पाट,किड़्गस् वे,ठमेल,शामाखुशी
बालाजु,,नयाँ बजार,,"नार्गाजुन, स्वयम्भु","विष्णुमती, माहारजगन्ज-१",धर्मस्थली,
स्युचाटार,ताहाचल,थानकोट,कालीमाती,,कलंकी,रोप वे,"बलम्भु, स्वयम्भु"
बनेपा,,धुलीखेल,साँगा,,,"नाला, खावा","अस्पताल, खोपासी, पनौती"
थापाथली,थापाथली,,,"सानेपा, टेकु, पाटन",,,
के-२,कमलादी,असन,महाबौध्द,,,दरवारमार्ग,बागबजार
माहारजगन्ज,बुढानिलकण्ठ,बाँसबारी,"बालुवाटार, अमेरिकी राजदुताबास",,"गंगबु, धापासी",,गोल्फुटार
ठिमी,,,,बालकुमारी,,थिमी,सल्लाधारी
सुन्धरा,खिचापोखरी,त्रिपुरेश्वर,,न्यूरोड,,भोटेवाहल,
के-३,भ्रिकुती मन्डप,,कालीकास्थान,,अनामनगर,,
मातातिर्थ,,,मातातिर्थ,,,,पुतली सडक
पाचँखाल,,,"पिल्ले, पलान्चोक",,मेलम्ची,पाँचखाल,
