समूह सवस्टेसन,समूह १,समूह २,समूह ३,समूह ४,समूह ५,समूह ६,समूह ७
हेटौडा,ग्रामिण,,भुटनदेबी,,युनिलिभर,चौघडा,
सिमरा,सिमरा,हुलास,डुमरवाना,जीतपुर,मुसहर्नी माई,,"नरवस्ती, रम्बाहान"
अमलेखगन्ज,,,,,,,अमलेखगन्ज
बिरगन्ज,बिरगन्ज-१,बिरगन्ज-२,कलैया ३३ के.भी.,,बिरगन्ज-४,बिरगन्ज-५,"पोखरीया ३३ के.भी., बिरगन्ज-६"
परवानीपुर,ग्रामिण,,कृसि,,,,परवानी गण्डक
चपुर,निजगढ ३३ के.भी.,,गौर ३३ के.भी.,हर्षा ३३ के.भी.,,"हरीपुर ३३ के.भी., चपुर दक्षिण",चपुर उत्तर
ढल्केबर,,सिन्धुली ३३ के.भी.,लालगढ,जनकपुर-१ ३३ के.भी.,"मलंगवा ३३ के.भी., जनकपुर-२ ३३ के.भी., महेन्द्रनगर",,गोदार
लाहान,,,रुपेणी ३३ के.भी.,"बिसनपुर-१ ३३ के.भी., लाहान",जलजले ३३ के.भी.,,"बस्तीपुर, जहदी, थाडी"
भरतपुर,"भुकुटी, नारायणघाट",सिचाई,पर्सा ३३ के.भी.,चनौली ३३ के.भी.,भरतपुर,,गैडागोट
कावासोती,,,प्रगतीनगर,११ के.भी. रहजर,,३३ के.भी. कावासोती,
बर्दघाट,प्रतापपुर,,,सुनबल,दुम्कीबास,,बर्दघाट बजार
बुटवल,"भैरहवा ३३ के.भी. पुरानो, भैरहवा ३३ के.भी. नयाँ-१","भुमिगत सिचाई, भैरहवा-२ ३३ के.भी., लुम्बिनी ३३ के.भी.",बुटवल पश्चिम,,,बुटवल पूर्ब,"सालझण्डी, नयाँ मिल"
चौराहा,,,,"परासी ३३ के.भी., ट्रान्स.ईनकमर",,,
पाल्पा,पाल्पा बजार,पश्चिम,,गुल्मी र अर्घाखाँची ३३ के.भी.,पुर्व,,
शिवपुर,पिपरा,बाहादुरगन्ज,,शिवपुर,क्रिष्णनगर ३३ के.भी.,,
लमही,लमही,,रिहर,,धोराही ३३ के.भी.,,"भालुवाड़्ग, गडुवा"
दमौली,सोती पसल-१,,दमौली,थर्पु,तनहसुर,आँबु खैरेनी ३३ के.भी.,
उदीपुर,,,,,भोटेओडार,,ओखरी
लेखनाथ,बेगनास,,कालिका,,खैरेनी,,बुढीवजार
पोखरा,फेवा,"सिटी, एयरपोर्ट",बजार,बैदाम,आर्वा,सारड़्गकोट,तातोपानी
सुनकोशी,"चरिकोट, जिरी",लामोसाँधु,म्याग्नेसाईट,बारबिसे,,"पाखर, चौतरा",
त्रिशुली,नुवाकोट,,तुप्चे,धुन्चे,त्रिशुली बजार र राम्साड़्गधे,बिदुर,कोलोनी
देविघाट,चैनपुर,,,कोलोनी र ब्यारेक,,,"रानीपौवा, बुम्ताड़्ग"
गजुरी/धादिड़्ग,मुरली भञ्ज्याड़्ग,सुनौला बजार,गजुरी,आदमघाट,सलयानटार,,
गण्डक,,,"त्रिबेणी, स्थानीय सुरजपुरा",,,,
मोदी,,,,,स्थानीय ११ के.भी.,बागलुड़ग ३३ के.भी.,
